,name,type,species,period,period_time,continent,lived_in,diet,length,size,taxonomy,link
85,Diplodocus,Sauropod,Longus,Jurassic,Late,North America,United States,Herbivorous,26.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,https://www.nhm.ac.uk/discover/dino-directory/diplodocus.html
86,Dromaeosaurus,Small Theropod,Albertensis,Cretaceous,Late,North America,United States,Carnivorous,1.8,Short,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,https://www.nhm.ac.uk/discover/dino-directory/dromaeosaurus.html
87,Dromiceiomimus,Large Theropod,Brevitertius,Cretaceous,Late,North America,Canada,Omnivorous,3.5,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,https://www.nhm.ac.uk/discover/dino-directory/dromiceiomimus.html
88,Dryosaurus,Euornithopod,Altus,Jurassic,Late,North America,United States,Herbivorous,4.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,https://www.nhm.ac.uk/discover/dino-directory/dryosaurus.html
89,Dryptosaurus,Large Theropod,Aquilunguis,Cretaceous,Late,North America,United States,Carnivorous,6.4,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,https://www.nhm.ac.uk/discover/dino-directory/dryptosaurus.html
90,Dubreuillosaurus,Large Theropod,Valesdunensis,Jurassic,Late,Europe,France,Carnivorous,9.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,https://www.nhm.ac.uk/discover/dino-directory/dubreuillosaurus.html
91,Edmontonia,Armoured Dinosaur,Longiceps,Cretaceous,Late,North America,Canada,Herbivorous,4.0,Medium,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,https://www.nhm.ac.uk/discover/dino-directory/edmontonia.html
92,Edmontosaurus,Euornithopod,Regalis,Cretaceous,Late,North America,Canada,Herbivorous,13.0,Long,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/edmontosaurus.html
93,Einiosaurus,Ceratopsian,Procurvicornis,Cretaceous,Late,North America,United States,Herbivorous,6.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/einiosaurus.html
94,Elaphrosaurus,Large Theropod,Bambergi,Jurassic,Late,Africa,Tanzania,Carnivorous,6.2,Medium,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,https://www.nhm.ac.uk/discover/dino-directory/elaphrosaurus.html
