,name,type,species,period,period_time,continent,lived_in,diet,length,size,taxonomy,link
155,Ligabuesaurus,Sauropod,Leanzai,Cretaceous,Early,South America,Argentina,Herbivorous,24.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,https://www.nhm.ac.uk/discover/dino-directory/ligabuesaurus.html
156,Liliensternus,Small Theropod,Liliensterni,Triassic,Late,Europe,Germany,Carnivorous,5.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda,https://www.nhm.ac.uk/discover/dino-directory/liliensternus.html
157,Lophorhothon,Euornithopod,Atopus,Cretaceous,Late,North America,United States,Herbivorous,4.5,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/lophorhothon.html
158,Lophostropheus,Large Theropod,Airelensis,Jurassic,Early,Europe,France,Carnivorous,6.2,Medium,Dinosauria Saurischia,https://www.nhm.ac.uk/discover/dino-directory/lophostropheus.html
159,Lufengosaurus,Sauropod,Huenei,Jurassic,Early,Asia,China,Herbivorous,6.0,Medium,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,https://www.nhm.ac.uk/discover/dino-directory/lufengosaurus.html
160,Lurdusaurus,Euornithopod,Arenatus,Cretaceous,Early,Africa,Niger,Herbivorous,9.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,https://www.nhm.ac.uk/discover/dino-directory/lurdusaurus.html
161,Lycorhinus,Euornithopod,Angustidens,Triassic,Late,Africa,South Africa,Herbivorous,1.2,Short,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,https://www.nhm.ac.uk/discover/dino-directory/lycorhinus.html
162,Magyarosaurus,Sauropod,Dacus,Cretaceous,Late,Europe,Romania,Herbivorous,5.0,Medium,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,https://www.nhm.ac.uk/discover/dino-directory/magyarosaurus.html
163,Maiasaura,Euornithopod,Peeblesorum,Cretaceous,Late,North America,United States,Herbivorous,9.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/maiasaura.html
164,Majungasaurus,Large Theropod,Atopus,Cretaceous,Late,Africa,Madagascar,Carnivorous,6.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,https://www.nhm.ac.uk/discover/dino-directory/majungasaurus.html
165,Malawisaurus,Sauropod,Dixeyi,Cretaceous,Early,Africa,Malawi,Herbivorous,9.0,Medium,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,https://www.nhm.ac.uk/discover/dino-directory/malawisaurus.html
166,Mamenchisaurus,Sauropod,Constructus,Jurassic,Late,Asia,China,Herbivorous,22.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,https://www.nhm.ac.uk/discover/dino-directory/mamenchisaurus.html
167,Mapusaurus,Large Theropod,Roseae,Cretaceous,Late,South America,Argentina,Carnivorous,13.0,Long,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae Charcharodontosauridae Giganotosaurinae,https://www.nhm.ac.uk/discover/dino-directory/mapusaurus.html
168,Marshosaurus,Large Theropod,Bicentesimus,Jurassic,Late,North America,United States,Carnivorous,6.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda,https://www.nhm.ac.uk/discover/dino-directory/marshosaurus.html
169,Masiakasaurus,Small Theropod,Knopfleri,Cretaceous,Late,Africa,Madagascar,Carnivorous,2.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,https://www.nhm.ac.uk/discover/dino-directory/masiakasaurus.html
170,Massospondylus,Sauropod,Carinatus,Jurassic,Early,Africa,Zimbabwe,Omnivorous,4.0,Medium,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,https://www.nhm.ac.uk/discover/dino-directory/massospondylus.html
171,Maxakalisaurus,Sauropod,Topai,Cretaceous,Late,South America,Brazil,Herbivorous,13.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae Saltasaurinae,https://www.nhm.ac.uk/discover/dino-directory/maxakalisaurus.html
172,Megalosaurus,Large Theropod,Bucklandii,Jurassic,Mid,Europe,United Kingdom,Carnivorous,9.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,https://www.nhm.ac.uk/discover/dino-directory/megalosaurus.html
173,Melanorosaurus,Sauropod,Readi,Triassic,Late,Africa,South Africa,Omnivorous,12.0,Long,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,https://www.nhm.ac.uk/discover/dino-directory/melanorosaurus.html
174,Metriacanthosaurus,Large Theropod,Parkeri,Jurassic,Late,Europe,United Kingdom,Carnivorous,8.2,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae,https://www.nhm.ac.uk/discover/dino-directory/metriacanthosaurus.html
175,Microceratus,Ceratopsian,Gobiensis,Cretaceous,Late,Asia,Mongolia,Herbivorous,0.5,Short,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,https://www.nhm.ac.uk/discover/dino-directory/microceratus.html
176,Micropachycephalosaurus,Ceratopsian,Hongtuyanensis,Cretaceous,Late,Asia,China,Herbivorous,0.6,Short,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,https://www.nhm.ac.uk/discover/dino-directory/micropachycephalosaurus.html
177,Microraptor,Small Theropod,Zhaoianus,Cretaceous,Early,Asia,China,Carnivorous,0.8,Short,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,https://www.nhm.ac.uk/discover/dino-directory/microraptor.html
178,Minmi,Armoured Dinosaur,Paravertebra,Cretaceous,Early,Oceania,Australia,Herbivorous,3.0,Medium,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,https://www.nhm.ac.uk/discover/dino-directory/minmi.html
179,Monolophosaurus,Large Theropod,Jiangi,Jurassic,Mid,Asia,China,Carnivorous,5.7,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,https://www.nhm.ac.uk/discover/dino-directory/monolophosaurus.html
180,Mononykus,Small Theropod,Olecranus,Cretaceous,Late,Asia,Mongolia,Unknown,1.0,Short,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,https://www.nhm.ac.uk/discover/dino-directory/mononykus.html
181,Mussaurus,Sauropod,Patagonicus,Triassic,Late,South America,Argentina,Herbivorous,3.0,Medium,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,https://www.nhm.ac.uk/discover/dino-directory/mussaurus.html
182,Muttaburrasaurus,Euornithopod,Langdoni,Cretaceous,Early,Oceania,Australia,Herbivorous,7.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,https://www.nhm.ac.uk/discover/dino-directory/muttaburrasaurus.html
183,Nanshiungosaurus,Large Theropod,Brevispinus,Cretaceous,Late,Asia,China,Omnivorous,4.4,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,https://www.nhm.ac.uk/discover/dino-directory/nanshiungosaurus.html
184,Nedoceratops,Ceratopsian,Hatcheri,Cretaceous,Late,North America,United States,Herbivorous,7.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,https://www.nhm.ac.uk/discover/dino-directory/nedoceratops.html
185,Nemegtosaurus,Sauropod,Mongoliensis,Cretaceous,Late,Asia,Mongolia,Herbivorous,13.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,https://www.nhm.ac.uk/discover/dino-directory/nemegtosaurus.html
186,Neovenator,Large Theropod,Salerii,Cretaceous,Early,Europe,United Kingdom,Carnivorous,7.4,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,https://www.nhm.ac.uk/discover/dino-directory/neovenator.html
187,Neuquenosaurus,Sauropod,Australis,Cretaceous,Late,South America,Argentina,Herbivorous,10.0,Medium,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,https://www.nhm.ac.uk/discover/dino-directory/neuquenosaurus.html
188,Nigersaurus,Sauropod,Taqueti,Cretaceous,Early,Africa,Tunisia,Herbivorous,15.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,https://www.nhm.ac.uk/discover/dino-directory/nigersaurus.html
189,Nipponosaurus,Euornithopod,Sachalinensis,Cretaceous,Late,Asia,Russia,Herbivorous,4.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,https://www.nhm.ac.uk/discover/dino-directory/nipponosaurus.html
190,Noasaurus,Small Theropod,Leali,Cretaceous,Late,South America,Argentina,Carnivorous,1.0,Short,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,https://www.nhm.ac.uk/discover/dino-directory/noasaurus.html
191,Nodosaurus,Armoured Dinosaur,Textilis,Cretaceous,Early,North America,United States,Herbivorous,5.0,Medium,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,https://www.nhm.ac.uk/discover/dino-directory/nodosaurus.html
192,Nomingia,Small Theropod,Gobiensis,Cretaceous,Late,Asia,Mongolia,Omnivorous,1.6,Short,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,https://www.nhm.ac.uk/discover/dino-directory/nomingia.html
193,Nothronychus,Large Theropod,Mckinleyi,Cretaceous,Late,North America,United States,Omnivorous,5.3,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,https://www.nhm.ac.uk/discover/dino-directory/nothronychus.html
194,Nqwebasaurus,Small Theropod,Thwazi,Jurassic,Mid,Africa,South Africa,Carnivorous,1.0,Short,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,https://www.nhm.ac.uk/discover/dino-directory/nqwebasaurus.html
195,Omeisaurus,Sauropod,Junghsiensis,Jurassic,Mid,Asia,China,Herbivorous,20.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,https://www.nhm.ac.uk/discover/dino-directory/omeisaurus.html
196,Opisthocoelicaudia,Sauropod,Skarzynskii ,Cretaceous,Late,Asia,Mongolia,Herbivorous,12.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,https://www.nhm.ac.uk/discover/dino-directory/opisthocoelicaudia.html
197,Ornitholestes,Small Theropod,Hermanni,Jurassic,Late,North America,United States,Carnivorous,2.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,https://www.nhm.ac.uk/discover/dino-directory/ornitholestes.html
198,Ornithomimus,Large Theropod,Velox,Cretaceous,Late,North America,United States,Omnivorous,4.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,https://www.nhm.ac.uk/discover/dino-directory/ornithomimus.html
199,Orodromeus,Euornithopod,Makelai,Cretaceous,Late,North America,United States,Herbivorous,2.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,https://www.nhm.ac.uk/discover/dino-directory/orodromeus.html
200,Oryctodromeus,Euornithopod,Cubicularis,Cretaceous,Late,North America,United States,Herbivorous,2.1,Medium,Dinosauria Ornithischia,https://www.nhm.ac.uk/discover/dino-directory/oryctodromeus.html
201,Othnielia,Euornithopod,Rex,Jurassic,Late,North America,United States,Herbivorous,1.4,Short,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,https://www.nhm.ac.uk/discover/dino-directory/othnielia.html
202,Ouranosaurus,Euornithopod,Nigeriensis,Cretaceous,Early,Africa,Niger,Herbivorous,7.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,https://www.nhm.ac.uk/discover/dino-directory/ouranosaurus.html
203,Oviraptor,Small Theropod,Philoceratops,Cretaceous,Late,Asia,Mongolia,Omnivorous,2.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,https://www.nhm.ac.uk/discover/dino-directory/oviraptor.html
204,Pachycephalosaurus,Euornithopod,Wyomingensis,Cretaceous,Late,North America,United States,Herbivorous,8.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,https://www.nhm.ac.uk/discover/dino-directory/pachycephalosaurus.html
205,Pachyrhinosaurus,Ceratopsian,Canadensis,Cretaceous,Late,North America,Canada,Herbivorous,6.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/pachyrhinosaurus.html
206,Panoplosaurus,Armoured Dinosaur,Mirus,Cretaceous,Late,North America,United States,Herbivorous,7.0,Medium,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,https://www.nhm.ac.uk/discover/dino-directory/panoplosaurus.html
207,Pantydraco,Euornithopod,Caducus,Jurassic,Early,Europe,Wales,Herbivorous,3.0,Medium,Dinosauria Saurischia,https://www.nhm.ac.uk/discover/dino-directory/pantydraco.html
208,Paralititan,Sauropod,Stromeri,Cretaceous,Late,Africa,Egypt,Herbivorous,28.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,https://www.nhm.ac.uk/discover/dino-directory/paralititan.html
209,Parasaurolophus,Euornithopod,Walkeri,Cretaceous,Late,North America,United States,Herbivorous,11.0,Long,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,https://www.nhm.ac.uk/discover/dino-directory/parasaurolophus.html
210,Parksosaurus,Euornithopod,Warrenae,Cretaceous,Late,North America,Canada,Herbivorous,3.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,https://www.nhm.ac.uk/discover/dino-directory/parksosaurus.html
211,Patagosaurus,Sauropod,Fariasi,Jurassic,Mid,South America,Argentina,Herbivorous,18.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,https://www.nhm.ac.uk/discover/dino-directory/patagosaurus.html
212,Pelicanimimus,Small Theropod,Polyodon,Cretaceous,Early,Europe,Spain,Carnivorous,2.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,https://www.nhm.ac.uk/discover/dino-directory/pelicanimimus.html
213,Pelorosaurus,Sauropod,Conybearei,Cretaceous,Early,Europe,United Kingdom,Herbivorous,25.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes,https://www.nhm.ac.uk/discover/dino-directory/pelorosaurus.html
214,Pentaceratops,Ceratopsian,Sternbergi,Cretaceous,Late,North America,United States,Herbivorous,6.8,Medium,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,https://www.nhm.ac.uk/discover/dino-directory/pentaceratops.html
215,Piatnitzkysaurus,Large Theropod,Floresi,Jurassic,Late,South America,Argentina,Carnivorous,4.2,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,https://www.nhm.ac.uk/discover/dino-directory/piatnitzkysaurus.html
216,Pinacosaurus,Armoured Dinosaur,Grangeri,Cretaceous,Late,Asia,Mongolia,Herbivorous,5.0,Medium,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,https://www.nhm.ac.uk/discover/dino-directory/pinacosaurus.html
217,Plateosaurus,Sauropod,Engelhardti,Triassic,Late,Europe,Switzerland,Herbivorous,7.0,Medium,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,https://www.nhm.ac.uk/discover/dino-directory/plateosaurus.html
218,Podokesaurus,Small Theropod,Holyokensis,Jurassic,Mid,North America,United States,Carnivorous,0.9,Short,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,https://www.nhm.ac.uk/discover/dino-directory/podokesaurus.html
219,Poekilopleuron,Large Theropod,Bucklandii,Jurassic,Mid,Europe,France,Carnivorous,9.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,https://www.nhm.ac.uk/discover/dino-directory/poekilopleuron.html
220,Polacanthus,Armoured Dinosaur,Foxii,Cretaceous,Early,Europe,United Kingdom,Herbivorous,5.0,Medium,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,https://www.nhm.ac.uk/discover/dino-directory/polacanthus.html
221,Prenocephale,Euornithopod,Prenes,Cretaceous,Late,Asia,Mongolia,Herbivorous,2.4,Medium,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,https://www.nhm.ac.uk/discover/dino-directory/prenocephale.html
222,Probactrosaurus,Euornithopod,Gobiensis,Cretaceous,Early,Asia,China,Herbivorous,6.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,https://www.nhm.ac.uk/discover/dino-directory/probactrosaurus.html
223,Proceratosaurus,Small Theropod,Bradleyi,Jurassic,Mid,Europe,United Kingdom,Carnivorous,4.1,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,https://www.nhm.ac.uk/discover/dino-directory/proceratosaurus.html
224,Procompsognathus,Small Theropod,Triassicus,Triassic,Late,Europe,Germany,Carnivorous,1.0,Short,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,https://www.nhm.ac.uk/discover/dino-directory/procompsognathus.html
225,Prosaurolophus,Euornithopod,Maximus,Cretaceous,Late,North America,United States,Herbivorous,7.6,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/prosaurolophus.html
226,Protarchaeopteryx,Small Theropod,Robusta,Cretaceous,Early,Asia,China,Carnivorous,2.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora,https://www.nhm.ac.uk/discover/dino-directory/protarchaeopteryx.html
227,Protoceratops,Ceratopsian,Andrewsi,Cretaceous,Late,Asia,Mongolia,Herbivorous,1.8,Short,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,https://www.nhm.ac.uk/discover/dino-directory/protoceratops.html
228,Protohadros,Euornithopod,Byrdi,Cretaceous,Late,North America,United States,Herbivorous,6.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,https://www.nhm.ac.uk/discover/dino-directory/protohadros.html
229,Psittacosaurus,Ceratopsian,Mongoliensis,Cretaceous,Early,Asia,Russia,Herbivorous,2.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Psittacosauridae,https://www.nhm.ac.uk/discover/dino-directory/psittacosaurus.html
230,Quaesitosaurus,Sauropod,Orientalis,Cretaceous,Late,Asia,Mongolia,Herbivorous,23.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,https://www.nhm.ac.uk/discover/dino-directory/quaesitosaurus.html
231,Rebbachisaurus,Sauropod,Garasbae,Cretaceous,Early,Africa,Morocco,Herbivorous,20.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,https://www.nhm.ac.uk/discover/dino-directory/rebbachisaurus.html
232,Rhabdodon,Euornithopod,Priscus,Cretaceous,Late,Europe,Spain,Herbivorous,4.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,https://www.nhm.ac.uk/discover/dino-directory/rhabdodon.html
233,Rhoetosaurus,Sauropod,Brownei,Jurassic,Mid,Oceania,Australia,Herbivorous,15.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda,https://www.nhm.ac.uk/discover/dino-directory/rhoetosaurus.html
234,Rinchenia,Small Theropod,Mongoliensis,Cretaceous,Late,Asia,Mongolia,Omnivorous,2.5,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,https://www.nhm.ac.uk/discover/dino-directory/rinchenia.html
235,Riojasaurus,Sauropod,Incertus,Triassic,Late,South America,Argentina,Herbivorous/Omnivorous,5.15,Medium,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,https://www.nhm.ac.uk/discover/dino-directory/riojasaurus.html
236,Rugops,Large Theropod,Primus,Cretaceous,Late,Africa,Niger,Carnivorous,7.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,https://www.nhm.ac.uk/discover/dino-directory/rugops.html
237,Saichania,Armoured Dinosaur,Chulsanensis,Cretaceous,Late,Asia,Mongolia,Herbivorous,6.6,Medium,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,https://www.nhm.ac.uk/discover/dino-directory/saichania.html
238,Saltasaurus,Sauropod,Loricatus,Cretaceous,Late,South America,Argentina,Herbivorous,12.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,https://www.nhm.ac.uk/discover/dino-directory/saltasaurus.html
239,Saltopus,Small Theropod,Elginensis,Triassic,Late,Europe,United Kingdom,Carnivorous,1.0,Short,Dinosauria,https://www.nhm.ac.uk/discover/dino-directory/saltopus.html
240,Sarcosaurus,Small Theropod,Woodi,Jurassic,Early,Europe,United Kingdom,Carnivorous,3.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria,https://www.nhm.ac.uk/discover/dino-directory/sarcosaurus.html
241,Saurolophus,Euornithopod,Osborni,Cretaceous,Late,Asia,Mongolia,Herbivorous,9.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/saurolophus.html
242,Sauropelta,Armoured Dinosaur,Edwardsorum,Cretaceous,Early,North America,United States,Herbivorous,6.5,Medium,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,https://www.nhm.ac.uk/discover/dino-directory/sauropelta.html
243,Saurophaganax,Large Theropod,Maximus,Jurassic,Late,North America,United States,Carnivorous,12.0,Long,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,https://www.nhm.ac.uk/discover/dino-directory/saurophaganax.html
244,Saurornithoides,Small Theropod,Mongoliensis,Cretaceous,Late,Asia,Mongolia,Carnivorous,3.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,https://www.nhm.ac.uk/discover/dino-directory/saurornithoides.html
245,Scelidosaurus,Armoured Dinosaur,Harrisonii,Jurassic,Early,Europe,United Kingdom,Herbivorous,4.0,Medium,Dinosauria Ornithischia Genasauria Thyreophora Scelidosauridae,https://www.nhm.ac.uk/discover/dino-directory/scelidosaurus.html
246,Scutellosaurus,Armoured Dinosaur,Lawleri,Jurassic,Early,North America,United States,Herbivorous,1.2,Short,Dinosauria Ornithischia Genasauria Thyreophora,https://www.nhm.ac.uk/discover/dino-directory/scutellosaurus.html
247,Secernosaurus,Euornithopod,Koerneri,Cretaceous,Late,South America,Argentina,Herbivorous,3.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,https://www.nhm.ac.uk/discover/dino-directory/secernosaurus.html
248,Segisaurus,Small Theropod,Halli,Jurassic,Mid,North America,United States,Carnivorous,1.5,Short,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,https://www.nhm.ac.uk/discover/dino-directory/segisaurus.html
249,Segnosaurus,Large Theropod,Galbinensis,Cretaceous,Late,Asia,Mongolia,Carnivorous,4.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,https://www.nhm.ac.uk/discover/dino-directory/segnosaurus.html
