,name,type,species,period,period_time,continent,lived_in,diet,length,taxonomy,link
193,nomingia,small theropod,gobiensis,Cretaceous,Late,Asia,Mongolia,omnivorous,1.6m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,https://www.nhm.ac.uk/discover/dino-directory/nomingia.html
194,nothronychus,large theropod,mckinleyi,Cretaceous,Late,North America,United States,omnivorous,5.3m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,https://www.nhm.ac.uk/discover/dino-directory/nothronychus.html
195,nqwebasaurus,small theropod,thwazi,Jurassic,Mid,Africa,South Africa,carnivorous,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,https://www.nhm.ac.uk/discover/dino-directory/nqwebasaurus.html
196,omeisaurus,sauropod,junghsiensis,Jurassic,Mid,Asia,China,herbivorous,20.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,https://www.nhm.ac.uk/discover/dino-directory/omeisaurus.html
197,opisthocoelicaudia,sauropod,skarzynskii ,Cretaceous,Late,Asia,Mongolia,herbivorous,12.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,https://www.nhm.ac.uk/discover/dino-directory/opisthocoelicaudia.html
198,ornitholestes,small theropod,hermanni,Jurassic,Late,North America,United States,carnivorous,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,https://www.nhm.ac.uk/discover/dino-directory/ornitholestes.html
199,ornithomimus,large theropod,velox,Cretaceous,Late,North America,United States,omnivorous,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,https://www.nhm.ac.uk/discover/dino-directory/ornithomimus.html
200,orodromeus,euornithopod,makelai,Cretaceous,Late,North America,United States,herbivorous,2.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,https://www.nhm.ac.uk/discover/dino-directory/orodromeus.html
201,oryctodromeus,euornithopod,cubicularis,Cretaceous,Late,North America,United States,herbivorous,2.1m,Dinosauria Ornithischia,https://www.nhm.ac.uk/discover/dino-directory/oryctodromeus.html
202,othnielia,euornithopod,rex,Jurassic,Late,North America,United States,herbivorous,1.4m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,https://www.nhm.ac.uk/discover/dino-directory/othnielia.html
203,ouranosaurus,euornithopod,nigeriensis,Cretaceous,Early,Africa,Niger,herbivorous,7.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,https://www.nhm.ac.uk/discover/dino-directory/ouranosaurus.html
204,oviraptor,small theropod,philoceratops,Cretaceous,Late,Asia,Mongolia,omnivorous,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,https://www.nhm.ac.uk/discover/dino-directory/oviraptor.html
205,pachycephalosaurus,euornithopod,wyomingensis,Cretaceous,Late,North America,United States,herbivorous,8.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,https://www.nhm.ac.uk/discover/dino-directory/pachycephalosaurus.html
206,pachyrhinosaurus,ceratopsian,canadensis,Cretaceous,Late,North America,Canada,herbivorous,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/pachyrhinosaurus.html
207,panoplosaurus,armoured dinosaur,mirus,Cretaceous,Late,North America,United States,herbivorous,7.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,https://www.nhm.ac.uk/discover/dino-directory/panoplosaurus.html
208,pantydraco,euornithopod,caducus,Jurassic,Early,Europe,Wales,herbivorous,3.0m,Dinosauria Saurischia,https://www.nhm.ac.uk/discover/dino-directory/pantydraco.html
209,paralititan,sauropod,stromeri,Cretaceous,Late,Africa,Egypt,herbivorous,28.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,https://www.nhm.ac.uk/discover/dino-directory/paralititan.html
210,parasaurolophus,euornithopod,walkeri,Cretaceous,Late,North America,United States,herbivorous,11.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,https://www.nhm.ac.uk/discover/dino-directory/parasaurolophus.html
211,parksosaurus,euornithopod,warrenae,Cretaceous,Late,North America,Canada,herbivorous,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,https://www.nhm.ac.uk/discover/dino-directory/parksosaurus.html
212,patagosaurus,sauropod,fariasi,Jurassic,Mid,South America,Argentina,herbivorous,18.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,https://www.nhm.ac.uk/discover/dino-directory/patagosaurus.html
213,pelicanimimus,small theropod,polyodon,Cretaceous,Early,Europe,Spain,carnivorous,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,https://www.nhm.ac.uk/discover/dino-directory/pelicanimimus.html
214,pelorosaurus,sauropod,conybearei,Cretaceous,Early,Europe,United Kingdom,herbivorous,25.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes,https://www.nhm.ac.uk/discover/dino-directory/pelorosaurus.html
215,pentaceratops,ceratopsian,sternbergi,Cretaceous,Late,North America,United States,herbivorous,6.8m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,https://www.nhm.ac.uk/discover/dino-directory/pentaceratops.html
216,piatnitzkysaurus,large theropod,floresi,Jurassic,Late,South America,Argentina,carnivorous,4.2m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,https://www.nhm.ac.uk/discover/dino-directory/piatnitzkysaurus.html
217,pinacosaurus,armoured dinosaur,grangeri,Cretaceous,Late,Asia,Mongolia,herbivorous,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,https://www.nhm.ac.uk/discover/dino-directory/pinacosaurus.html
218,plateosaurus,sauropod,engelhardti,Triassic,Late,Europe,Switzerland,herbivorous,7.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,https://www.nhm.ac.uk/discover/dino-directory/plateosaurus.html
219,podokesaurus,small theropod,holyokensis,Jurassic,Mid,North America,United States,carnivorous,0.9m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,https://www.nhm.ac.uk/discover/dino-directory/podokesaurus.html
220,poekilopleuron,large theropod,bucklandii,Jurassic,Mid,Europe,France,carnivorous,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,https://www.nhm.ac.uk/discover/dino-directory/poekilopleuron.html
221,polacanthus,armoured dinosaur,foxii,Cretaceous,Early,Europe,United Kingdom,herbivorous,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,https://www.nhm.ac.uk/discover/dino-directory/polacanthus.html
222,prenocephale,euornithopod,prenes,Cretaceous,Late,Asia,Mongolia,herbivorous,2.4m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,https://www.nhm.ac.uk/discover/dino-directory/prenocephale.html
223,probactrosaurus,euornithopod,gobiensis,Cretaceous,Early,Asia,China,herbivorous,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,https://www.nhm.ac.uk/discover/dino-directory/probactrosaurus.html
224,proceratosaurus,small theropod,bradleyi,Jurassic,Mid,Europe,United Kingdom,carnivorous,4.1m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,https://www.nhm.ac.uk/discover/dino-directory/proceratosaurus.html
225,procompsognathus,small theropod,triassicus,Triassic,Late,Europe,Germany,carnivorous,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,https://www.nhm.ac.uk/discover/dino-directory/procompsognathus.html
226,prosaurolophus,euornithopod,maximus,Cretaceous,Late,North America,United States,herbivorous,7.6m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/prosaurolophus.html
227,protarchaeopteryx,small theropod,robusta,Cretaceous,Early,Asia,China,carnivorous,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora,https://www.nhm.ac.uk/discover/dino-directory/protarchaeopteryx.html
228,protoceratops,ceratopsian,andrewsi,Cretaceous,Late,Asia,Mongolia,herbivorous,1.8m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,https://www.nhm.ac.uk/discover/dino-directory/protoceratops.html
229,protohadros,euornithopod,byrdi,Cretaceous,Late,North America,United States,herbivorous,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,https://www.nhm.ac.uk/discover/dino-directory/protohadros.html
230,psittacosaurus,ceratopsian,mongoliensis,Cretaceous,Early,Asia,Russia,herbivorous,2.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Psittacosauridae,https://www.nhm.ac.uk/discover/dino-directory/psittacosaurus.html
231,quaesitosaurus,sauropod,orientalis,Cretaceous,Late,Asia,Mongolia,herbivorous,23.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,https://www.nhm.ac.uk/discover/dino-directory/quaesitosaurus.html
232,rebbachisaurus,sauropod,garasbae,Cretaceous,Early,Africa,Morocco,herbivorous,20.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,https://www.nhm.ac.uk/discover/dino-directory/rebbachisaurus.html
233,rhabdodon,euornithopod,priscus,Cretaceous,Late,Europe,Spain,herbivorous,4.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,https://www.nhm.ac.uk/discover/dino-directory/rhabdodon.html
234,rhoetosaurus,sauropod,brownei,Jurassic,Mid,Oceania,Australia,herbivorous,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda,https://www.nhm.ac.uk/discover/dino-directory/rhoetosaurus.html
235,rinchenia,small theropod,mongoliensis,Cretaceous,Late,Asia,Mongolia,omnivorous,2.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,https://www.nhm.ac.uk/discover/dino-directory/rinchenia.html
236,riojasaurus,sauropod,incertus,Triassic,Late,South America,Argentina,herbivorous/omnivorous,5.15m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,https://www.nhm.ac.uk/discover/dino-directory/riojasaurus.html
237,rugops,large theropod,primus,Cretaceous,Late,Africa,Niger,carnivorous,7.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,https://www.nhm.ac.uk/discover/dino-directory/rugops.html
238,saichania,armoured dinosaur,chulsanensis,Cretaceous,Late,Asia,Mongolia,herbivorous,6.6m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,https://www.nhm.ac.uk/discover/dino-directory/saichania.html
239,saltasaurus,sauropod,loricatus,Cretaceous,Late,South America,Argentina,herbivorous,12.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,https://www.nhm.ac.uk/discover/dino-directory/saltasaurus.html
240,saltopus,small theropod,elginensis,Triassic,Late,Europe,United Kingdom,carnivorous,,Dinosauria,https://www.nhm.ac.uk/discover/dino-directory/saltopus.html
241,sarcosaurus,small theropod,woodi,Jurassic,Early,Europe,United Kingdom,carnivorous,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria,https://www.nhm.ac.uk/discover/dino-directory/sarcosaurus.html
242,saurolophus,euornithopod,osborni,Cretaceous,Late,Asia,Mongolia,herbivorous,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/saurolophus.html
243,sauropelta,armoured dinosaur,edwardsorum,Cretaceous,Early,North America,United States,herbivorous,6.5m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,https://www.nhm.ac.uk/discover/dino-directory/sauropelta.html
244,saurophaganax,large theropod,maximus,Jurassic,Late,North America,United States,carnivorous,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,https://www.nhm.ac.uk/discover/dino-directory/saurophaganax.html
245,saurornithoides,small theropod,mongoliensis,Cretaceous,Late,Asia,Mongolia,carnivorous,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,https://www.nhm.ac.uk/discover/dino-directory/saurornithoides.html
246,scelidosaurus,armoured dinosaur,harrisonii,Jurassic,Early,Europe,United Kingdom,herbivorous,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Scelidosauridae,https://www.nhm.ac.uk/discover/dino-directory/scelidosaurus.html
247,scutellosaurus,armoured dinosaur,lawleri,Jurassic,Early,North America,United States,herbivorous,1.2m,Dinosauria Ornithischia Genasauria Thyreophora,https://www.nhm.ac.uk/discover/dino-directory/scutellosaurus.html
248,secernosaurus,euornithopod,koerneri,Cretaceous,Late,South America,Argentina,herbivorous,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,https://www.nhm.ac.uk/discover/dino-directory/secernosaurus.html
249,segisaurus,small theropod,halli,Jurassic,Mid,North America,United States,carnivorous,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,https://www.nhm.ac.uk/discover/dino-directory/segisaurus.html
250,segnosaurus,large theropod,galbinensis,Cretaceous,Late,Asia,Mongolia,carnivorous,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,https://www.nhm.ac.uk/discover/dino-directory/segnosaurus.html
251,shamosaurus,armoured dinosaur,scutatus,Cretaceous,Early,Asia,Mongolia,herbivorous,,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,https://www.nhm.ac.uk/discover/dino-directory/shamosaurus.html
252,shanag,small theropod,ashile,Cretaceous,Early,Asia,Mongolia,carnivorous,0.45m,Dinosauria Saurischia,https://www.nhm.ac.uk/discover/dino-directory/shanag.html
253,shantungosaurus,euornithopod,giganteus,Cretaceous,Late,Asia,China,herbivorous,15.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/shantungosaurus.html
254,shunosaurus,sauropod,lii,Jurassic,Mid,Asia,China,herbivorous,10.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,https://www.nhm.ac.uk/discover/dino-directory/shunosaurus.html
255,shuvuuia,small theropod,deserti,Cretaceous,Late,Asia,Mongolia,omnivorous,0.6m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,https://www.nhm.ac.uk/discover/dino-directory/shuvuuia.html
256,silvisaurus,armoured dinosaur,condrayi,Cretaceous,Early,North America,United States,herbivorous,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,https://www.nhm.ac.uk/discover/dino-directory/silvisaurus.html
257,sinocalliopteryx,small theropod,gigas,Cretaceous,Early,Asia,China,carnivorous,2.37m,Dinosauria Saurischia,https://www.nhm.ac.uk/discover/dino-directory/sinocalliopteryx.html
258,sinornithosaurus,small theropod,millenii,Cretaceous,Early,Asia,China,carnivorous,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,https://www.nhm.ac.uk/discover/dino-directory/sinornithosaurus.html
259,sinosauropteryx,small theropod,prima,Cretaceous,Early,Asia,China,carnivorous,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,https://www.nhm.ac.uk/discover/dino-directory/sinosauropteryx.html
260,sinovenator,small theropod,changii,Cretaceous,Early,Asia,China,carnivorous,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,https://www.nhm.ac.uk/discover/dino-directory/sinovenator.html
261,sinraptor,large theropod,hepingensis,Jurassic,Mid,Asia,China,carnivorous,7.6m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,https://www.nhm.ac.uk/discover/dino-directory/sinraptor.html
262,sonidosaurus,sauropod,saihangaobiensis,Cretaceous,Late,Asia,China,herbivorous,9.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,https://www.nhm.ac.uk/discover/dino-directory/sonidosaurus.html
263,spinosaurus,large theropod,aegyptiacus,Cretaceous,Late,Africa,Morocco,carnivorous,18.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,https://www.nhm.ac.uk/discover/dino-directory/spinosaurus.html
264,staurikosaurus,large theropod,pricei,Triassic,Late,South America,Brazil,carnivorous,2.0m,Dinosauria Saurischia Theropoda Herrerasauridae,https://www.nhm.ac.uk/discover/dino-directory/staurikosaurus.html
265,stegoceras,euornithopod,validum,Cretaceous,Late,North America,United States,herbivorous,2.4m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,https://www.nhm.ac.uk/discover/dino-directory/stegoceras.html
266,stegosaurus,armoured dinosaur,armatus,Jurassic,Late,North America,United States,herbivorous,9.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,https://www.nhm.ac.uk/discover/dino-directory/stegosaurus.html
267,stenopelix,ceratopsian,valdensis,Cretaceous,Early,Europe,Germany,herbivorous,1.5m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,https://www.nhm.ac.uk/discover/dino-directory/stenopelix.html
268,struthiomimus,small theropod,altus,Cretaceous,Late,North America,Canada,omnivorous,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,https://www.nhm.ac.uk/discover/dino-directory/struthiomimus.html
269,struthiosaurus,armoured dinosaur,austriacus,Cretaceous,Late,Europe,Spain,herbivorous,2.5m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,https://www.nhm.ac.uk/discover/dino-directory/struthiosaurus.html
270,styracosaurus,ceratopsian,albertensis,Cretaceous,Late,North America,United States,herbivorous,5.5m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/styracosaurus.html
271,suchomimus,large theropod,tenerensis,Cretaceous,Early,Africa,Niger,carnivorous,11.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,https://www.nhm.ac.uk/discover/dino-directory/suchomimus.html
272,supersaurus,sauropod,vivianae,Cretaceous,Early,North America,United States,herbivorous,35.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,https://www.nhm.ac.uk/discover/dino-directory/supersaurus.html
273,talarurus,armoured dinosaur,plicatospineus,Cretaceous,Late,Asia,Mongolia,herbivorous,6.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,https://www.nhm.ac.uk/discover/dino-directory/talarurus.html
274,tanius,euornithopod,sinensis,Cretaceous,Late,Asia,China,herbivorous,,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,https://www.nhm.ac.uk/discover/dino-directory/tanius.html
275,tarbosaurus,large theropod,bataar,Cretaceous,Late,Asia,Mongolia,carnivorous,10.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,https://www.nhm.ac.uk/discover/dino-directory/tarbosaurus.html
276,tarchia,armoured dinosaur,gigantea,Cretaceous,Late,Asia,Mongolia,herbivorous,8.5m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosaurinae,https://www.nhm.ac.uk/discover/dino-directory/tarchia.html
277,telmatosaurus,euornithopod,transsylvanicus,Cretaceous,Late,Europe,Spain,herbivorous,5.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,https://www.nhm.ac.uk/discover/dino-directory/telmatosaurus.html
278,tenontosaurus,euornithopod,tillettorum,Cretaceous,Early,North America,United States,herbivorous,7.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia,https://www.nhm.ac.uk/discover/dino-directory/tenontosaurus.html
279,thecodontosaurus,sauropod,antiquus,Triassic,Late,Europe,United Kingdom,omnivorous,2.5m,Dinosauria Saurischia Sauropodomorpha Prosauropoda,https://www.nhm.ac.uk/discover/dino-directory/thecodontosaurus.html
280,therizinosaurus,large theropod,cheloniformis,Cretaceous,Late,Asia,Mongolia,unknown,,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,https://www.nhm.ac.uk/discover/dino-directory/therizinosaurus.html
281,thescelosaurus,euornithopod,neglectus,Cretaceous,Late,North America,United States,herbivorous,3.5m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,https://www.nhm.ac.uk/discover/dino-directory/thescelosaurus.html
282,torosaurus,ceratopsian,latus,Cretaceous,Late,North America,United States,herbivorous,7.5m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,https://www.nhm.ac.uk/discover/dino-directory/torosaurus.html
283,torvosaurus,large theropod,tanneri,Jurassic,Late,North America,United States,carnivorous,10.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,https://www.nhm.ac.uk/discover/dino-directory/torvosaurus.html
284,triceratops,ceratopsian,horridus,Cretaceous,Late,North America,United States,herbivorous,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,https://www.nhm.ac.uk/discover/dino-directory/triceratops.html
285,troodon,small theropod,formosus,Cretaceous,Late,North America,United States,carnivorous,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,https://www.nhm.ac.uk/discover/dino-directory/troodon.html
286,tsagantegia,armoured dinosaur,longicranialis,Cretaceous,Late,Asia,Mongolia,herbivorous,,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,https://www.nhm.ac.uk/discover/dino-directory/tsagantegia.html
287,tsintaosaurus,euornithopod,spinorhinus,Cretaceous,Late,Asia,China,herbivorous,12.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,https://www.nhm.ac.uk/discover/dino-directory/tsintaosaurus.html
288,tuojiangosaurus,armoured dinosaur,multispinus,Jurassic,Late,Asia,China,herbivorous,7.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,https://www.nhm.ac.uk/discover/dino-directory/tuojiangosaurus.html
289,tylocephale,euornithopod,gilmorei,Cretaceous,Late,Asia,Mongolia,herbivorous,1.4m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,https://www.nhm.ac.uk/discover/dino-directory/tylocephale.html
290,tyrannosaurus,large theropod,rex,Cretaceous,Late,North America,United States,carnivorous,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,https://www.nhm.ac.uk/discover/dino-directory/tyrannosaurus.html
291,udanoceratops,ceratopsian,tschizhovi,Cretaceous,Late,Asia,Mongolia,herbivorous,,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,https://www.nhm.ac.uk/discover/dino-directory/udanoceratops.html
292,unenlagia,small theropod,comahuensis,Cretaceous,Late,South America,Argentina,carnivorous,2.4m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,https://www.nhm.ac.uk/discover/dino-directory/unenlagia.html
