,name,type,species,period,period_time,continent,lived_in,diet,length,taxonomy,link
119,goyocephale,large theropod,lattimorei,Cretaceous,Late,Asia,Mongolia,herbivorous,2.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala,https://www.nhm.ac.uk/discover/dino-directory/goyocephale.html
120,graciliceratops,ceratopsian,mongoliensis,Cretaceous,Late,Asia,Mongolia,herbivorous,,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,https://www.nhm.ac.uk/discover/dino-directory/graciliceratops.html
121,gryposaurus,euornithopod,notabilis,Cretaceous,Late,North America,United States,herbivorous,10.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/gryposaurus.html
122,guaibasaurus,small theropod,candelariensis,Triassic,Late,South America,Brazil,herbivorous,1.8m,Dinosauria Saurischia Theropoda,https://www.nhm.ac.uk/discover/dino-directory/guaibasaurus.html
123,guanlong,small theropod,wucaii,Jurassic,Late,Asia,China,carnivorous,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,https://www.nhm.ac.uk/discover/dino-directory/guanlong.html
124,hadrosaurus,euornithopod,foulkii,Cretaceous,Late,North America,United States,herbivorous,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/hadrosaurus.html
125,haplocanthosaurus,sauropod,priscus,Jurassic,Late,North America,United States,herbivorous,21.5m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Camarasauridae,https://www.nhm.ac.uk/discover/dino-directory/haplocanthosaurus.html
126,harpymimus,small theropod,okladnikovi,Cretaceous,Early,Asia,Mongolia,omnivorous,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,https://www.nhm.ac.uk/discover/dino-directory/harpymimus.html
127,herrerasaurus,small theropod,ischigualastensis,Triassic,Late,South America,Argentina,carnivorous,3.0m,Dinosauria Saurischia Theropoda Herrerasauridae,https://www.nhm.ac.uk/discover/dino-directory/herrerasaurus.html
128,hesperosaurus,armoured dinosaur,mjosi,Jurassic,Late,North America,United States,herbivorous,6.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,https://www.nhm.ac.uk/discover/dino-directory/hesperosaurus.html
129,heterodontosaurus,euornithopod,tucki,Jurassic,Early,Africa,South Africa,herbivorous,1.2m,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,https://www.nhm.ac.uk/discover/dino-directory/heterodontosaurus.html
130,heyuannia,small theropod,yanshini,Cretaceous,Late,Asia,Mongolia,omnivorous,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,https://www.nhm.ac.uk/discover/dino-directory/heyuannia.html
